CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
709967358,Existing Customer,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36.0,6,2,3,30367.0,2362.0,28005.0,1.708,1671.0,27,0.929,0.078
753327333,Existing Customer,41.0,M,3,Unknown,Married,$80K - $120K,Blue,34.0,4,4,1,13535.0,1291.0,12244.0,0.653,1028.0,21,1.625,0.095
806160108,Existing Customer,61.0,M,1,High School,Married,$40K - $60K,Blue,56.0,2,2,3,3193.0,2517.0,676.0,1.831,1336.0,30,1.143,0.788
709327383,Existing Customer,45.0,F,2,Graduate,Married,Unknown,Blue,37.0,6,1,2,14470.0,1157.0,13313.0,0.966,1207.0,21,0.909,0.08
806165208,Existing Customer,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42.0,5,2,0,20979.0,1800.0,19179.0,0.906,1178.0,27,0.929,0.086
708508758,Attrited Customer,62.0,F,0,Graduate,Married,Less than $40K,Blue,49.0,2,3,3,1438.3,0.0,1438.3,1.047,692.0,16,0.6,0.0
784725333,Existing Customer,41.0,M,3,High School,Married,$40K - $60K,Blue,33.0,4,2,1,4470.0,680.0,3790.0,1.608,931.0,18,1.571,0.152
811604133,Existing Customer,47.0,F,4,Unknown,Single,Less than $40K,Blue,36.0,3,3,2,2492.0,1560.0,932.0,0.573,1126.0,23,0.353,0.626
789124683,Existing Customer,54.0,M,2,Unknown,Married,$80K - $120K,Blue,42.0,4,2,3,12217.0,0.0,12217.0,1.075,1110.0,21,0.75,0.0
771071958,Existing Customer,41.0,F,3,Graduate,Single,Less than $40K,Blue,28.0,6,1,2,7768.0,1669.0,6099.0,0.797,1051.0,22,0.833,0.215
720466383,Existing Customer,59.0,M,1,High School,Unknown,$40K - $60K,Blue,46.0,4,1,2,14784.0,1374.0,13410.0,0.921,1197.0,23,1.3,0.093
804424383,Existing Customer,63.0,M,1,Unknown,Married,$60K - $80K,Blue,56.0,3,3,2,10215.0,1010.0,9205.0,0.843,1904.0,40,1.0,0.099
718813833,Existing Customer,44.0,F,3,Uneducated,Single,Unknown,Blue,34.0,5,2,2,10100.0,0.0,10100.0,0.525,1052.0,18,1.571,0.0
806624208,Existing Customer,47.0,M,4,High School,Married,$40K - $60K,Blue,42.0,6,0,0,4785.0,1362.0,3423.0,0.739,1045.0,38,0.9,0.285
778348233,Existing Customer,53.0,M,3,Unknown,Married,$80K - $120K,Blue,33.0,3,2,3,2753.0,1811.0,942.0,0.977,1038.0,25,2.571,0.658
712991808,Existing Customer,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2,5,1,2451.0,1690.0,761.0,1.323,1596.0,26,1.6,0.69
709029408,Existing Customer,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4,1,2,8923.0,2517.0,,1.726,1589.0,24,1.667,0.282
788658483,Existing Customer,53.0,F,2,College,Married,Less than $40K,Blue,38.0,5,2,3,2650.0,1490.0,1160.0,1.75,1411.0,28,1.0,0.562
787937058,Existing Customer,58.0,M,0,Graduate,Married,$80K - $120K,Blue,,6,2,2,12555.0,1696.0,10859.0,0.519,1291.0,24,0.714,0.135
715318008,Existing Customer,55.0,F,1,College,Single,Less than $40K,Blue,36.0,4,2,1,3520.0,1914.0,1606.0,0.51,1407.0,43,0.483,0.544
713962233,Existing Customer,55.0,F,3,Graduate,Married,Less than $40K,Blue,36.0,6,2,3,3035.0,2298.0,737.0,1.724,1877.0,37,1.176,0.757
785432733,Existing Customer,42.0,F,4,High School,Married,Less than $40K,Gold,36.0,2,3,3,15433.0,0.0,15433.0,0.865,966.0,22,1.2,0.0
715190283,Existing Customer,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49.0,3,3,2,3672.0,886.0,2786.0,1.32,1464.0,28,0.556,0.241
708300483,Attrited Customer,66.0,F,0,Doctorate,Married,Unknown,Blue,56.0,5,4,3,7882.0,605.0,7277.0,1.052,704.0,16,0.143,0.077
827111283,Existing Customer,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2,2,2,32426.0,578.0,31848.0,1.042,1109.0,28,0.474,0.018
758551608,Existing Customer,51.0,M,2,Unknown,Married,$40K - $60K,Blue,44.0,4,1,0,6205.0,2204.0,4001.0,0.803,1347.0,28,0.556,0.355
773146383,Existing Customer,50.0,F,1,College,Single,$40K - $60K,Silver,43.0,3,2,3,17304.0,2517.0,14787.0,1.449,1756.0,33,1.2,0.145
778493808,Existing Customer,49.0,M,3,High School,Married,$60K - $80K,Blue,37.0,5,2,1,3906.0,0.0,3906.0,1.214,1756.0,32,1.0,0.0
720572508,Existing Customer,38.0,F,4,Graduate,Single,Unknown,Blue,28.0,2,3,3,9830.0,2055.0,7775.0,0.977,1042.0,23,0.917,0.209
712661433,Existing Customer,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3,2,3,34516.0,0.0,34516.0,1.621,1444.0,28,1.333,0.0
789172683,Existing Customer,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6,2,0,2283.0,1430.0,853.0,2.316,1741.0,27,0.588,0.626
738406533,Existing Customer,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52.0,3,2,2,2548.0,2020.0,528.0,2.357,1719.0,27,1.7,0.793
799723908,Existing Customer,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4,3,3,19458.0,1435.0,18023.0,0.787,1217.0,27,0.8,0.074
771490833,Existing Customer,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5,1,1,4745.0,1227.0,3518.0,0.624,1140.0,40,0.6,0.259
720756708,Existing Customer,52.0,F,3,Unknown,Married,Less than $40K,Blue,41.0,6,3,2,2622.0,1549.0,1073.0,1.321,1878.0,30,1.143,0.591
779471883,Attrited Customer,54.0,F,1,Graduate,Married,Less than $40K,Blue,40.0,2,3,1,1438.3,808.0,630.3,0.997,705.0,19,0.9,0.562
711525033,Existing Customer,66.0,F,0,High School,Married,Less than $40K,Blue,54.0,3,4,2,3171.0,2179.0,992.0,1.224,1946.0,38,1.923,0.687
712813458,Existing Customer,49.0,M,2,Unknown,Married,$120K +,Blue,,4,2,0,19763.0,2517.0,17246.0,0.664,1414.0,35,0.25,0.127
714374133,Attrited Customer,56.0,M,2,Graduate,Married,$120K +,Blue,36.0,1,3,3,15769.0,0.0,15769.0,1.041,602.0,15,0.364,0.0
717891558,Existing Customer,49.0,F,4,Graduate,Unknown,Less than $40K,Blue,36.0,6,4,2,3298.0,2200.0,1098.0,0.678,1052.0,32,0.6,0.667
716632758,Existing Customer,49.0,F,3,Graduate,Single,Less than $40K,Blue,36.0,2,2,0,2802.0,2363.0,439.0,0.75,1295.0,40,0.6,0.843
768563658,Existing Customer,56.0,M,2,Uneducated,Married,$40K - $60K,Blue,50.0,4,2,3,4458.0,1880.0,2578.0,1.107,1424.0,29,1.417,0.422
711427458,Existing Customer,44.0,F,5,Graduate,Married,Unknown,Blue,35.0,4,1,2,6273.0,978.0,5295.0,2.275,1359.0,25,1.083,0.156
714091983,Existing Customer,42.0,M,2,High School,Single,$60K - $80K,Blue,34.0,4,4,3,3336.0,1753.0,1583.0,0.69,1168.0,27,1.25,0.525
787584108,Existing Customer,55.0,M,3,Unknown,Married,$80K - $120K,Blue,47.0,4,2,3,3436.0,2016.0,1420.0,0.901,1097.0,33,0.833,0.587
712030833,Attrited Customer,48.0,M,2,Graduate,Married,$60K - $80K,Silver,35.0,2,4,4,34516.0,0.0,34516.0,0.763,691.0,15,0.5,0.0
711481533,Existing Customer,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5,3,3,5926.0,1251.0,4675.0,0.944,1316.0,28,1.154,0.211
710082708,Existing Customer,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2,4,2,23957.0,2102.0,21855.0,0.997,1276.0,26,0.733,0.088
708155733,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,44.0,4,2,2,14734.0,1634.0,13100.0,0.989,1289.0,23,0.917,0.111
788979258,Existing Customer,51.0,M,4,Uneducated,Single,$80K - $120K,Silver,38.0,4,1,4,34516.0,1515.0,33001.0,0.592,1293.0,32,0.6,0.044
807986133,Existing Customer,57.0,M,2,College,Married,$60K - $80K,Blue,52.0,5,3,3,6584.0,1817.0,4767.0,0.62,1353.0,35,0.667,0.276
788730933,Existing Customer,44.0,F,2,Uneducated,Single,Less than $40K,Blue,20.0,6,3,3,2084.0,1468.0,616.0,1.004,1132.0,28,0.556,0.704
711314058,Existing Customer,49.0,M,2,Graduate,Married,$60K - $80K,Blue,32.0,2,2,2,1687.0,1107.0,580.0,1.715,1670.0,17,2.4,0.656
717975333,Existing Customer,50.0,M,2,Doctorate,Married,$80K - $120K,Blue,38.0,6,2,2,25300.0,1330.0,23970.0,1.072,837.0,15,2.0,0.053
715971108,Existing Customer,51.0,M,4,Graduate,Single,$120K +,Blue,42.0,3,2,3,34516.0,1763.0,32753.0,1.266,1550.0,41,1.05,0.051
720096558,Existing Customer,55.0,F,2,Graduate,Married,Less than $40K,Blue,42.0,5,3,3,2216.0,1034.0,1182.0,0.758,1540.0,36,0.286,0.467
719580033,Existing Customer,54.0,M,1,Graduate,Unknown,$60K - $80K,Blue,43.0,4,2,3,2910.0,2030.0,880.0,0.769,1256.0,21,0.4,0.698
820582308,Existing Customer,42.0,M,5,Uneducated,Married,$80K - $120K,Blue,37.0,6,2,2,22913.0,1528.0,21385.0,0.414,1394.0,35,0.522,0.067
789973308,Existing Customer,44.0,M,1,College,Single,$60K - $80K,Blue,35.0,3,3,3,24312.0,1932.0,22380.0,1.312,1341.0,24,1.182,0.079
712876233,Existing Customer,53.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,5,3,2,5272.0,1515.0,3757.0,0.857,1289.0,33,0.435,0.287
804595158,Existing Customer,44.0,F,4,Graduate,Single,Less than $40K,Blue,36.0,6,4,2,7000.0,2517.0,4483.0,0.475,1112.0,23,1.875,0.36
714826758,Existing Customer,37.0,F,3,Uneducated,Single,Less than $40K,Blue,29.0,4,4,2,7038.0,1801.0,5237.0,0.751,2339.0,57,0.966,0.256
779058108,Existing Customer,49.0,M,3,Graduate,Divorced,$60K - $80K,Blue,30.0,6,1,2,2536.0,1823.0,713.0,0.703,1468.0,23,0.353,0.719
710790258,Existing Customer,47.0,M,2,Graduate,Married,$80K - $120K,Blue,38.0,6,3,2,28904.0,1899.0,27005.0,0.85,1334.0,35,0.4,0.066
715623483,Existing Customer,47.0,M,3,Graduate,Married,$60K - $80K,Blue,37.0,4,4,0,8567.0,1695.0,6872.0,1.242,1457.0,41,1.412,0.198
715156383,Existing Customer,44.0,M,1,Unknown,Unknown,$120K +,Blue,36.0,6,2,2,34516.0,1533.0,32983.0,0.924,1603.0,29,0.526,0.044
711013983,Attrited Customer,55.0,F,4,Unknown,Married,$40K - $60K,Blue,45.0,2,4,3,2158.0,0.0,2158.0,0.585,615.0,12,0.714,0.0
755420433,Existing Customer,59.0,F,1,Graduate,Married,Unknown,Blue,52.0,2,3,3,10133.0,1417.0,8716.0,0.383,1068.0,20,0.818,0.14
794543958,Existing Customer,53.0,M,1,Graduate,Divorced,$80K - $120K,Blue,35.0,5,4,2,34516.0,1219.0,33297.0,1.129,1590.0,27,2.0,0.035
716396358,Existing Customer,52.0,M,2,Graduate,Married,$60K - $80K,Blue,47.0,5,3,0,3085.0,1910.0,1175.0,0.921,1531.0,35,0.667,0.619
715398033,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,35.0,4,2,1,19040.0,2056.0,16984.0,0.607,1212.0,31,0.722,0.108
711743883,Existing Customer,43.0,F,3,Uneducated,Single,Less than $40K,Blue,35.0,5,2,3,4026.0,0.0,4026.0,0.483,1237.0,32,0.6,0.0
719720058,Existing Customer,44.0,M,3,High School,Single,$60K - $80K,Blue,31.0,4,3,1,12756.0,837.0,11919.0,1.932,1413.0,14,1.8,0.066
778992108,Existing Customer,57.0,M,2,Unknown,Married,$120K +,Blue,45.0,5,3,3,5266.0,0.0,5266.0,1.702,1516.0,29,1.636,0.0
717539808,Existing Customer,51.0,F,2,High School,Single,Less than $40K,Blue,36.0,3,2,2,9930.0,0.0,9930.0,0.731,1276.0,21,1.333,0.0
714070758,Existing Customer,49.0,M,4,High School,Single,$80K - $120K,Blue,38.0,4,3,0,31302.0,1953.0,29349.0,0.875,1564.0,35,2.182,0.062
714107958,Existing Customer,45.0,M,1,Graduate,Single,$40K - $60K,Blue,36.0,4,4,3,6576.0,0.0,6576.0,0.579,1465.0,34,0.619,0.0
789140283,Existing Customer,53.0,M,0,Graduate,Single,$80K - $120K,Blue,42.0,5,4,1,2664.0,2037.0,627.0,0.85,1286.0,29,0.933,0.765
715550508,Existing Customer,45.0,F,3,Unknown,Married,Unknown,Blue,28.0,5,1,2,2535.0,2440.0,95.0,1.705,1312.0,20,1.222,0.963
719712633,Existing Customer,64.0,M,1,Graduate,Married,Less than $40K,Blue,52.0,6,4,3,1709.0,895.0,814.0,1.656,1673.0,32,0.882,0.524
772629333,Existing Customer,,M,3,Graduate,Married,$40K - $60K,Blue,35.0,5,4,2,3454.0,1200.0,2254.0,0.597,1313.0,30,0.304,0.347
720336708,Existing Customer,53.0,M,3,Doctorate,Married,$40K - $60K,Blue,35.0,5,3,2,3789.0,1706.0,2083.0,1.047,1609.0,42,0.68,0.45
802013583,Existing Customer,56.0,M,3,College,Married,$120K +,Blue,50.0,3,2,0,9689.0,2250.0,7439.0,0.576,1158.0,19,0.727,0.232
711887583,Attrited Customer,47.0,M,2,Unknown,Married,$80K - $120K,Blue,37.0,2,3,3,5449.0,1628.0,3821.0,0.696,836.0,18,0.385,0.299
714778833,Existing Customer,49.0,F,3,College,Single,Unknown,Blue,43.0,4,4,0,23032.0,1960.0,21072.0,0.619,1289.0,22,1.0,0.085
713843283,Existing Customer,41.0,F,3,Unknown,Married,Unknown,Silver,34.0,5,3,3,34516.0,2053.0,32463.0,1.034,1487.0,26,0.733,0.059
779155158,Existing Customer,53.0,M,3,Graduate,Married,$120K +,Blue,34.0,6,2,2,2940.0,1264.0,1676.0,0.562,1259.0,33,0.5,0.43
721091583,Existing Customer,44.0,F,2,Graduate,Single,Less than $40K,Blue,32.0,3,3,3,3031.0,1879.0,1152.0,0.788,1298.0,15,1.5,0.62
713572683,Existing Customer,44.0,M,3,High School,Unknown,$60K - $80K,Blue,25.0,3,3,0,1862.0,0.0,1862.0,0.883,1226.0,34,0.789,0.0
716657058,Existing Customer,43.0,F,4,Post-Graduate,Married,Less than $40K,Blue,33.0,2,3,3,8358.0,926.0,7432.0,0.762,1566.0,37,0.542,0.111
779509983,Existing Customer,53.0,M,2,Post-Graduate,Single,$120K +,Blue,36.0,6,1,2,34516.0,931.0,33585.0,0.828,1022.0,21,1.1,0.027
717929133,Existing Customer,,M,1,Uneducated,Married,$60K - $80K,Blue,36.0,5,2,3,14450.0,2440.0,12010.0,1.283,1235.0,30,0.667,0.169
808284783,Existing Customer,62.0,F,1,Unknown,Married,Less than $40K,Blue,56.0,6,0,0,1438.3,0.0,1438.3,0.813,1951.0,44,1.095,0.0
708476808,Existing Customer,54.0,M,4,Unknown,Divorced,$120K +,Blue,36.0,6,3,2,33791.0,1960.0,31831.0,0.618,1047.0,31,0.824,0.058
710916408,Existing Customer,57.0,M,4,Graduate,Married,$60K - $80K,Blue,39.0,4,3,0,8466.0,1886.0,6580.0,0.56,1342.0,32,0.391,0.223
708492558,Existing Customer,42.0,M,3,Unknown,Married,$60K - $80K,Blue,36.0,5,3,3,15088.0,865.0,14223.0,0.939,1107.0,21,1.625,0.057
799825758,Existing Customer,42.0,M,4,High School,Divorced,$60K - $80K,Blue,36.0,5,1,2,3263.0,1674.0,1589.0,0.588,1251.0,35,0.346,0.513
718619883,Existing Customer,54.0,F,0,Uneducated,Married,Less than $40K,Blue,36.0,2,2,2,1494.0,706.0,788.0,1.674,1305.0,24,3.0,0.473
711844758,Existing Customer,48.0,M,3,Graduate,Single,$80K - $120K,Blue,35.0,6,1,0,13551.0,1294.0,12257.0,0.791,1388.0,37,1.056,0.095
714798783,Existing Customer,49.0,M,1,Graduate,Single,$80K - $120K,Blue,36.0,6,2,2,18886.0,895.0,17991.0,1.826,1235.0,18,1.571,0.047
826762908,Existing Customer,52.0,M,3,High School,Unknown,$80K - $120K,Blue,48.0,3,2,0,11976.0,,10703.0,1.024,2089.0,36,1.118,0.106
771894558,Existing Customer,50.0,M,3,High School,Single,$80K - $120K,Blue,39.0,4,1,4,9964.0,1559.0,8405.0,1.873,1626.0,25,0.786,0.156
721074183,Existing Customer,49.0,M,1,Doctorate,Married,$60K - $80K,Blue,36.0,4,6,3,24159.0,1196.0,22963.0,0.712,1111.0,24,1.0,0.05
715259583,Existing Customer,53.0,F,2,High School,Married,Less than $40K,Blue,,3,2,3,5362.0,1901.0,3461.0,0.816,1553.0,38,1.0,0.355
718414008,Existing Customer,50.0,M,2,Graduate,Single,$120K +,Blue,36.0,3,2,2,34516.0,1023.0,33493.0,1.004,1064.0,13,0.625,0.03
719666283,Existing Customer,55.0,F,1,Doctorate,Married,Less than $40K,Blue,36.0,4,1,0,3174.0,1951.0,1223.0,0.766,1243.0,29,0.611,0.615
714877233,Existing Customer,53.0,M,1,High School,Married,$80K - $120K,Blue,47.0,3,2,2,12262.0,1836.0,10426.0,1.584,1659.0,38,1.533,0.15
785387883,Existing Customer,47.0,F,3,High School,Single,$40K - $60K,Blue,41.0,4,3,3,3788.0,1540.0,2248.0,0.566,1594.0,47,0.382,0.407
771075258,Existing Customer,55.0,M,2,College,Single,$120K +,Silver,42.0,2,3,2,34516.0,1527.0,32989.0,0.526,1268.0,42,0.355,0.044
711318033,Existing Customer,47.0,M,3,Graduate,Single,$60K - $80K,Blue,36.0,4,2,2,2926.0,0.0,2926.0,0.676,1304.0,24,0.846,0.0
783554958,Existing Customer,58.0,M,4,Graduate,Single,$120K +,Blue,52.0,6,1,0,32090.0,0.0,32090.0,0.567,1368.0,30,0.364,0.0
720201033,Attrited Customer,53.0,M,2,Graduate,Married,$80K - $120K,Blue,41.0,3,3,2,11669.0,2227.0,9442.0,0.622,720.0,23,0.353,0.191
718039683,Existing Customer,52.0,M,2,High School,Single,$40K - $60K,Blue,45.0,3,1,2,13532.0,1300.0,12232.0,0.846,1521.0,29,1.417,0.096
710806083,Existing Customer,50.0,F,1,Uneducated,Unknown,Less than $40K,Silver,36.0,4,2,2,11888.0,2090.0,9798.0,0.7,1137.0,30,0.765,0.176
714752208,Existing Customer,42.0,F,1,Graduate,Married,Less than $40K,Blue,36.0,5,1,2,2393.0,1985.0,408.0,0.788,978.0,16,0.778,0.83
822063408,Existing Customer,43.0,M,4,Unknown,Married,$40K - $60K,Blue,39.0,5,1,2,6111.0,2517.0,3594.0,0.632,1221.0,16,2.2,0.412
714490308,Existing Customer,57.0,M,4,Graduate,Married,$80K - $120K,Blue,46.0,3,2,3,19270.0,1662.0,17608.0,1.186,1565.0,28,1.545,0.086
713356833,Existing Customer,52.0,M,1,Graduate,Married,$80K - $120K,Blue,43.0,3,1,4,3710.0,2517.0,1193.0,1.541,1578.0,34,0.7,0.678
711402333,Existing Customer,47.0,M,2,Doctorate,Single,Less than $40K,Blue,37.0,2,1,3,3235.0,797.0,2438.0,0.541,1493.0,32,1.0,0.246
708296883,Existing Customer,44.0,F,3,Graduate,Single,$40K - $60K,Blue,38.0,3,1,0,11749.0,788.0,10961.0,0.688,1178.0,27,0.929,0.067
719154483,Existing Customer,53.0,M,2,High School,Divorced,$60K - $80K,Blue,36.0,5,3,2,7753.0,2100.0,5653.0,0.839,991.0,26,0.733,0.271
717721458,Existing Customer,45.0,M,4,College,Divorced,$60K - $80K,Blue,40.0,5,1,0,10408.0,1186.0,9222.0,1.689,2560.0,42,1.211,0.114
711112683,Existing Customer,63.0,F,1,College,Married,Unknown,Blue,36.0,6,2,3,3967.0,1568.0,2399.0,1.236,1657.0,29,1.231,0.395
715674483,Existing Customer,39.0,F,2,Post-Graduate,Single,Less than $40K,Blue,27.0,4,2,2,6205.0,2517.0,3688.0,0.939,1204.0,19,0.727,0.406
789322833,Attrited Customer,48.0,F,5,High School,Married,Less than $40K,Blue,38.0,1,3,3,8025.0,0.0,8025.0,0.654,673.0,18,0.8,0.0
789968058,Existing Customer,51.0,M,1,Unknown,Single,$120K +,Blue,42.0,6,2,3,9036.0,2327.0,6709.0,0.649,1131.0,18,0.636,0.258
709919283,Existing Customer,54.0,M,4,Graduate,Married,$80K - $120K,Blue,34.0,2,3,2,14926.0,2517.0,12409.0,1.996,1576.0,25,1.5,0.169
718744008,Existing Customer,59.0,F,1,Graduate,Single,Less than $40K,Blue,36.0,3,2,3,6335.0,1128.0,5207.0,0.397,1217.0,20,0.667,0.178
767712558,Attrited Customer,59.0,M,1,College,Single,$60K - $80K,Blue,53.0,2,3,3,14979.0,0.0,,0.71,530.0,10,1.0,
712950783,Attrited Customer,48.0,F,4,Uneducated,Married,Less than $40K,Blue,38.0,3,2,3,2732.0,0.0,2732.0,0.76,739.0,16,0.455,0.0
716104983,Existing Customer,41.0,F,2,Graduate,Single,Less than $40K,Blue,32.0,6,3,2,2250.0,2117.0,133.0,1.162,1617.0,31,2.875,0.941
818839983,Existing Customer,55.0,M,2,Graduate,Married,$120K +,Blue,50.0,3,2,0,10916.0,1536.0,9380.0,1.317,1592.0,34,1.0,0.141
772288758,Existing Customer,47.0,F,4,Graduate,Married,Unknown,Blue,36.0,4,1,3,5349.0,1228.0,4121.0,0.728,1343.0,30,1.308,0.23
712350858,Existing Customer,41.0,M,2,High School,Married,$80K - $120K,Blue,24.0,4,1,3,9366.0,1104.0,8262.0,0.572,1303.0,39,0.625,0.118
711009708,Existing Customer,40.0,M,3,High School,Single,$80K - $120K,Blue,28.0,5,1,0,21617.0,0.0,21617.0,1.047,1351.0,22,0.467,0.0
712720158,Existing Customer,68.0,M,1,Graduate,Married,Unknown,Blue,56.0,5,2,3,13860.0,1652.0,12208.0,1.255,1910.0,32,1.909,0.119
712215258,Existing Customer,50.0,F,1,Graduate,Single,$40K - $60K,Silver,31.0,2,2,3,18386.0,0.0,18386.0,0.868,1298.0,22,0.571,0.0
773827008,Existing Customer,47.0,M,4,Uneducated,Single,$60K - $80K,Blue,41.0,6,2,2,2405.0,1540.0,865.0,0.469,1087.0,29,1.231,0.64
795232683,Existing Customer,53.0,F,1,College,Married,Less than $40K,Blue,47.0,4,2,3,2154.0,930.0,1224.0,2.121,1439.0,26,1.364,0.432
713786508,Existing Customer,42.0,F,5,Unknown,Married,$40K - $60K,Blue,36.0,3,3,3,2038.0,0.0,2038.0,0.786,1238.0,28,0.75,0.0
713539833,Existing Customer,48.0,F,4,High School,Single,$40K - $60K,Blue,38.0,6,1,3,8135.0,0.0,8135.0,1.373,1716.0,29,0.812,0.0
712454058,Existing Customer,49.0,M,1,Doctorate,Married,$120K +,Blue,38.0,6,1,3,9364.0,618.0,8746.0,0.554,1099.0,27,0.8,0.066
718759833,Existing Customer,44.0,F,2,Uneducated,Married,Unknown,Silver,35.0,4,3,2,32643.0,0.0,32643.0,1.3,1058.0,24,2.429,0.0
718803333,Existing Customer,43.0,F,4,Graduate,Divorced,Less than $40K,Blue,34.0,2,3,1,3195.0,1954.0,1241.0,0.971,1285.0,29,0.706,0.612
720253908,Existing Customer,56.0,M,0,High School,Married,$80K - $120K,Blue,43.0,5,2,1,2852.0,1024.0,1828.0,1.009,1651.0,28,1.0,0.359
714133158,Existing Customer,59.0,F,1,College,Single,Unknown,Blue,36.0,2,3,3,4224.0,1305.0,2919.0,0.852,1152.0,31,0.824,0.309
713187033,Existing Customer,46.0,M,1,Uneducated,Married,$60K - $80K,Blue,36.0,3,2,2,20459.0,2071.0,18388.0,1.248,1767.0,38,2.167,0.101
714791208,Existing Customer,47.0,F,4,Unknown,Divorced,Less than $40K,Blue,41.0,6,5,3,3482.0,2114.0,1368.0,0.508,1039.0,24,0.263,0.607
772426383,Existing Customer,50.0,F,4,Uneducated,Married,$40K - $60K,Blue,40.0,5,2,3,3065.0,1570.0,1495.0,1.077,1130.0,28,1.333,0.512
710975883,Existing Customer,51.0,F,3,Uneducated,Married,Less than $40K,Blue,43.0,3,1,2,2185.0,1761.0,424.0,0.682,1645.0,30,0.429,0.806
